,count,mean,std,min,25%,50%,75%,max
total_sellers_std,111.0,0.7532099076017904,0.5078823857686829,0.0,0.5022624895547565,0.6233293534553829,0.894330341694067,3.2813157371750994
total_sellers_min,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_sellers_max,111.0,2.8018018018018016,2.900845706842371,0.0,1.0,2.0,3.0,19.0
total_sellers_median,111.0,0.6261261261261262,0.5972226190248128,0.0,0.0,1.0,1.0,3.0
total_sellers_last_value,111.0,0.22522522522522523,0.6422217782423861,0.0,0.0,0.0,0.0,4.0
total_sellers_kurtosis,102.0,0.6000588162440365,2.56634621109473,-6.0,-0.7878049159968974,0.0,1.3497705298573504,9.501095234819292
total_sellers_skewness,107.0,0.8460978763211948,0.831709950294226,-1.955760721560795,0.4960656054007909,0.9054055422005195,1.3260073035030713,2.7607911851113807
total_sellers_autocorrelation,104.0,0.044384897592702324,0.3642332627340014,-0.9999999999999999,-0.16666666666666669,0.12244736193149128,0.30034246575342466,0.7278481331105195
total_sellers_z_score,104.0,-0.7438632068909663,0.6137680300018488,-2.173067468400883,-1.0804669368086732,-0.8606861840844382,-0.5773502691896256,2.7071714543638965
total_sellers_change,111.0,0.22522522522522523,0.6422217782423861,0.0,0.0,0.0,0.0,4.0
total_sellers_pct_change,0.0,,,,,,,
